title,japanese_title,english_title,type,episodes,status,aired,premiered,broadcast,source,duration,rating,score,ranked,popularity,members,favorites,image_url
Sousou no Frieren,葬送のフリーレン,Frieren: Beyond Journey's End,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,9.31,#1,#164,"1,014,878","61,559",https://cdn.myanimelist.net/r/50x70/images/anime/1015/138006.jpg?s=09c2f2dec5891d8e8fbb9fa3b23c75b4
Gintama': Enchousen,銀魂' 延長戦,Gintama: Enchousen,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,9.02,#10,#756,"337,237","3,089",https://cdn.myanimelist.net/r/50x70/images/anime/1452/123686.jpg?s=9691ed28cdfeb56ce6881faf2adbf01e
Gintama',銀魂',Gintama Season 2,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,9.02,#9,#401,"578,786","8,309",https://cdn.myanimelist.net/r/50x70/images/anime/4/50361.jpg?s=b3a061db8c3d42a055d58f9df1f3dac7
Hunter x Hunter (2011),HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,9.03,#8,#8,"2,970,389","217,752",https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701
Gintama: The Final,銀魂 THE FINAL,Gintama: The Very Final,Movie,1,Finished Airing,"Jan 8, 2021",,,Manga,1 hr. 44 min.,PG-13 - Teens 13 or older,9.04,#7,#1537,"162,536","4,423",https://cdn.myanimelist.net/r/50x70/images/anime/1245/116760.jpg?s=8f52d6ff46ef1233eb9fcd542434221c
Gintama°,銀魂°,Gintama Season 4,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,9.05,#6,#343,"654,929","17,001",https://cdn.myanimelist.net/r/50x70/images/anime/3/72078.jpg?s=e9537ac90c08758594c787ede117f209
Shingeki no Kyojin Season 3 Part 2,進撃の巨人 Season3 Part.2,Attack on Titan Season 3 Part 2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),9.05,#5,#21,"2,397,886","60,343",https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100
One Piece Fan Letter,ONE PIECE FAN LETTER,,TV Special,1,Finished Airing,"Oct 20, 2024",,,Light novel,24 min.,PG-13 - Teens 13 or older,9.06,#4,#2431,"86,014","1,923",https://cdn.myanimelist.net/r/50x70/images/anime/1455/146229.jpg?s=229b4cd0d3b3c59fa37141dfa185798b
Steins;Gate,STEINS;GATE,Steins;Gate,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,9.07,#3,#14,"2,659,978","193,967",https://cdn.myanimelist.net/r/50x70/images/anime/1935/127974.jpg?s=cd8506e6d26bad48a78aa985477a55ca
Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),Manga,24 min. per ep.,R - 17+ (violence & profanity),9.1,#2,#3,"3,472,335","231,337",https://cdn.myanimelist.net/r/50x70/images/anime/1208/94745.jpg?s=7892d01b6c74f1bf945f7a3ff3bb1f6a
3-gatsu no Lion 2nd Season,3月のライオン 第2シリーズ,March Comes In Like a Lion 2nd Season,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23:00 (JST),Manga,25 min. per ep.,PG-13 - Teens 13 or older,8.91,#19,#586,"415,964","15,255",https://cdn.myanimelist.net/r/50x70/images/anime/3/88469.jpg?s=becfbf556902bc3501e06a07354b9d76
Koe no Katachi,聲の形,A Silent Voice,Movie,1,Finished Airing,"Sep 17, 2016",,,Manga,2 hr. 10 min.,PG-13 - Teens 13 or older,8.93,#18,#20,"2,438,897","91,005",https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae
Gintama,銀魂,Gintama,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#144,"1,100,910","60,053",https://cdn.myanimelist.net/r/50x70/images/anime/10/73274.jpg?s=ed42453c10ba12b03b1600d02725a174
Clannad: After Story,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,Clannad: After Story,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:59 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,8.93,#16,#120,"1,228,312","71,265",https://cdn.myanimelist.net/r/50x70/images/anime/1299/110774.jpg?s=fcd9db2cfd72c10a2278f483173cfff9
